Sr.,"Company Name","Company Code","Customer Name","Customer Code",Date,"PO Reference","Btire Order No.","SAP Order No.",Status,"SKU No.",Brand,"Product Description",Qty,Price,"Total Value"
65,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-02-14 13:13:25",,BT00028590,,approval_pending,PSR0G366-2025,Bridgestone,"Bridgestone 265/45 R21 108H Alenza 001 AO 2025",1.0000,1435,1435.0000
66,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-02-14 13:13:25",,BT00028590,,approval_pending,PSR0D749-2025,Bridgestone,"Bridgestone 185/65 R15 88H Turanza EP150 2025",1.0000,271,271.0000
67,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-02-14 13:13:25",,BT00028590,,approval_pending,XRIMMAX8-2025,Maxxion,"Maxxion R 22.5X11.75/2920801 065 84 SILVER Back 2025",1.0000,503.2,503.2000
68,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-02-14 13:13:25",,BT00028590,,approval_pending,XRIMMAX9-2025,Maxxion,"Maxxion R 22.5X09.00/2921010 000 84 SILVER WHEEL 2025",1.0000,483.65,483.6500
69,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-02-03 07:12:40",123456,BT00028589,,canceled,PSR0G695-2025,Bridgestone,"Bridgestone 265/40 R21 T005 105H EXT 2025",6.0000,1695,10170.0000
70,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-20 09:27:34",,BT00028587,,pending,LVR0D105-2025,Bridgestone,"Bridgestone T 235/65 R16C R400 115R 2025",1.0000,394,394.0000
71,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-20 09:23:29",,BT00028586,,pending,PSR10450-2025,Bridgestone,"Bridgestone 245/70 R17 110S Dueler H/T D684A 2025",1.0000,676,676.0000
72,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-20 07:24:10",,BT00028583,,pending,LVR0N244-2025,Bridgestone,"Bridgestone T 215/70 R15C R624Z 109S TL 2025",1.0000,453,453.0000
73,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-20 07:15:34",,BT00028582,,pending,PSR0LE83-2025,Bridgestone,"Bridgestone 215/55 R16 93V Turanza T005 2025",1.0000,355,355.0000
74,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 10:04:10",,BT00028581,,canceled,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
75,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 10:00:31",,BT00028580,,canceled,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
76,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 09:52:49",,BT00028579,,pending,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
77,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 09:06:49",,BT00028578,,pending,XRIMMAX6-2025,Maxxion,"Maxxion R 17.5X06.0/186044 013 81 SILVER WHEEL 2025",1.0000,348.5,348.5000
78,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 08:51:28",,BT00028577,,pending,LVR0N244-2025,Bridgestone,"Bridgestone T 215/70 R15C R624Z 109S TL 2025",1.0000,605,605.0000
79,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 08:36:27",,BT00028576,,approval_pending,PSR08766-2025,Bridgestone,"Bridgestone 245/65 R17 107T Dueler D689PZ 2025",2.0000,762,1524.0000
80,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 07:30:23",,BT00028575,,approval_pending,PSR08766-2025,Bridgestone,"Bridgestone 245/65 R17 107T Dueler D689PZ 2025",1.0000,762,762.0000
81,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-01-09 07:16:40",,BT00028574,,approval_pending,LVR0N244-2025,Bridgestone,"Bridgestone T 215/70 R15C R624Z 109S TL 2025",1.0000,605,605.0000
